Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
3500.00,2.50,-35.105,-33.543,-36.249,-38.057,-38.989,-39.197,-39.192,-39.206,-39.343,-39.409
3500.00,3.00,-35.202,-33.736,-36.321,-38.073,-38.979,-39.168,-39.155,-39.207,-39.336,-39.414
3500.00,3.50,-35.331,-33.959,-36.425,-38.091,-38.912,-39.107,-39.124,-39.211,-39.341,-39.424
3500.00,4.00,-35.434,-34.113,-36.512,-38.106,-38.818,-39.037,-39.098,-39.213,-39.332,-39.417
3500.00,4.50,-35.523,-34.273,-36.579,-38.100,-38.742,-38.978,-39.079,-39.212,-39.334,-39.419
3500.00,5.00,-35.567,-34.354,-36.610,-38.092,-38.700,-38.940,-39.062,-39.203,-39.328,-39.411
3500.00,5.50,-35.616,-34.434,-36.648,-38.098,-38.695,-38.933,-39.065,-39.198,-39.329,-39.408
3600.00,2.50,-35.419,-34.092,-36.491,-38.134,-39.056,-39.264,-39.281,-39.256,-39.405,-39.454
3600.00,3.00,-35.475,-34.196,-36.534,-38.150,-39.059,-39.250,-39.251,-39.259,-39.395,-39.457
3600.00,3.50,-35.555,-34.324,-36.600,-38.167,-39.013,-39.203,-39.215,-39.261,-39.391,-39.461
3600.00,4.00,-35.639,-34.439,-36.676,-38.187,-38.934,-39.140,-39.188,-39.265,-39.383,-39.455
3600.00,4.50,-35.732,-34.591,-36.747,-38.186,-38.845,-39.074,-39.167,-39.267,-39.387,-39.460
3600.00,5.00,-35.786,-34.677,-36.789,-38.190,-38.806,-39.039,-39.148,-39.262,-39.380,-39.454
3600.00,5.50,-35.822,-34.739,-36.815,-38.184,-38.780,-39.014,-39.140,-39.256,-39.381,-39.454
3700.00,2.50,-35.710,-34.581,-36.706,-38.207,-39.112,-39.314,-39.343,-39.294,-39.448,-39.489
3700.00,3.00,-35.559,-34.336,-36.598,-38.179,-39.091,-39.278,-39.276,-39.274,-39.408,-39.466
3700.00,3.50,-35.778,-34.675,-36.771,-38.242,-39.100,-39.283,-39.297,-39.305,-39.435,-39.493
3700.00,4.00,-35.837,-34.744,-36.831,-38.264,-39.034,-39.228,-39.267,-39.309,-39.426,-39.487
3700.00,4.50,-35.930,-34.883,-36.905,-38.270,-38.948,-39.165,-39.247,-39.315,-39.432,-39.495
3700.00,5.00,-35.995,-34.980,-36.957,-38.277,-38.900,-39.126,-39.230,-39.316,-39.432,-39.496
3700.00,5.50,-36.033,-35.039,-36.987,-38.276,-38.873,-39.102,-39.220,-39.313,-39.433,-39.497
3800.00,2.50,-35.960,-34.964,-36.898,-38.292,-39.165,-39.360,-39.397,-39.331,-39.484,-39.515
3800.00,3.00,-35.981,-34.991,-36.919,-38.307,-39.179,-39.363,-39.388,-39.341,-39.483,-39.520
3800.00,3.50,-35.994,-35.003,-36.938,-38.321,-39.173,-39.351,-39.367,-39.344,-39.474,-39.519
3800.00,4.00,-36.034,-35.039,-36.983,-38.343,-39.124,-39.307,-39.338,-39.349,-39.466,-39.515
3800.00,4.50,-36.110,-35.145,-37.048,-38.346,-39.042,-39.245,-39.316,-39.356,-39.472,-39.524
3800.00,5.00,-36.173,-35.231,-37.100,-38.352,-38.980,-39.199,-39.299,-39.359,-39.476,-39.530
