Name,WISE_ID,RA,DEC
AWI0004ek1,J053931.97+231520.7,84.8832153,23.2557593
AWI0005wp2,J053934.78-013211.9,84.89495426,-1.53665105
AWI00055xh,J053942.72+505424.9,84.927871,50.906904
AWI0005wpc,J053943.18-023243.2,84.9299314,-2.5453574
AWI0005wpk,J054002.56-003924.8,85.0106811,-0.656903
AWI0005wpn,J054005.04-062924.6,85.0210374,-6.4901791
AWI0005wpp,J054006.26-074744.5,85.0260988,-7.7956949
AWI0005wq2,J054017.01-021811.3,85.0709038,-2.3031478
AWI0002p1a,J054017.57+301236.7,85.0732373,30.2102158
AWI0005wq4,J054022.43-021539.9,85.0934834,-2.2610868
AWI0005wq7,J054024.96-075535.2,85.1040124,-7.9264708
AWI0005wq9,J054025.64-070537.2,85.1068585,-7.09368
AWI0005wqd,J054029.46-091703.6,85.1227901,-9.2843404
AWI0003cuq,J054032.45+272634.0,85.1352312,27.44277746
AWI0005wqh,J054039.31-022646.1,85.1637937,-2.446145
AWI0005wqj,J054040.05-063149.9,85.1668907,-6.5305502
AWI0005yrs,J054041.44-093626.0,85.1726758,-9.6072263
